FECHA|DEPARTAMENTO|PROVINCIA|DISTRITO|ZONA|BLOQUE|SEGMENTO|ID_POLI|TOTAL_LOTES|ORDEN_LOTE|P301|P301A|P301B1|P301B2|P301B3|P301C1|P301C2|P301C3|P301D|OBSERVACIONES
2021-10-14 12:33:21.623000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601307|1|1|Lote en barbecho| |0.3000000000|052|10000|0.1000000000|052|10000|0.3| 
2021-10-14 12:33:28.404000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601304|2|1|Lote en descanso| |0.5000000000|052|10000|0.2000000000|052|10000|0.51| 
2021-10-14 12:33:28.404000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601304|2|2|Lote en infraestructura pecuaria| |0.0100000000|074|1|0.0100000000|074|1|0.51| 
2021-10-14 12:33:36.388000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601305|1|1|Lote en barbecho| |0.3500000000|052|10000|0.2000000000|052|10000|0.35| 
2021-10-14 12:34:09.701000|LA LIBERTAD|JULCAN|JULCAN|zona_5|bloque_16|130191312|13019131201|2|1|Lote en barbecho| |1.0000000000|052|10000|0.0500000000|052|10000|2.8| 
2021-10-14 12:34:09.701000|LA LIBERTAD|JULCAN|JULCAN|zona_5|bloque_16|130191312|13019131201|2|2|Lote en pastos naturales|00000001171|1.8000000000|052|10000|0.1500000000|052|10000|2.8| 
2021-10-14 12:34:14.654000|LA LIBERTAD|JULCAN|JULCAN|zona_5|bloque_16|130191312|13019131202|1|1|Lote en descanso| |1.0000000000|052|10000|0.7990000000|052|10000|1| 
2021-10-14 12:34:19.232000|LA LIBERTAD|JULCAN|JULCAN|zona_5|bloque_16|130191312|13019131203|1|1|Lote en descanso| |1.5000000000|052|10000|0.0010000000|052|10000|1.5| 
2021-10-14 15:20:06.914000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061401|5|1|Lote en cultivo transitorio a nivel de variedad|00000000611|0.2500000000|052|10000|0.0500000000|052|10000|1.95| 
2021-10-14 15:20:06.914000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061401|5|2|Lote en cultivo transitorio a nivel de variedad|00000000303|0.2500000000|052|10000|0.0000000000|052|10000|1.95| 
2021-10-14 15:20:06.914000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061401|5|3|Lote en plantaciones forestales a nivel de variedad|00000000452|0.2000000000|052|10000|0.0000000000|052|10000|1.95| 
2021-10-14 15:20:06.914000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061401|5|4|Lote en barbecho| |0.4500000000|052|10000|0.0000000000|052|10000|1.95| 
2021-10-14 15:20:06.914000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061401|5|5|Lote en descanso| |0.8000000000|052|10000|0.0000000000|052|10000|1.95| 
2021-10-14 15:20:11.038000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061402|6|1|Lote en plantaciones forestales a nivel de variedad|00000000452|0.1500000000|052|10000|0.0500000000|052|10000|4.65| 
